Experiment,Data_Seed,Model_Seed,Epochs,Rank,Alpha,LR,Dropout,RMSE,Invalid_Ratio,Final_Invalid_Ratio,Test_Greedy_Success_Rate,Test_Retry_Success_Rate,Test_Fallback_Rate,Best_Train_Loss,Best_Val_Loss,Best_Val_RMSE,Best_Invalid_Ratio,Best_Final_Invalid_Ratio,Best_Greedy_Success_Rate,Best_Retry_Success_Rate,Best_Fallback_Rate,Best_Epoch
260114_data1,1,74,15,16,32,5e-05,0.05,2.5223,0.0,0.0,,,,1.0024,0.9618,2.4255,0.0,0.0,1.0,0.0,0.0,4
260114_data2,2,74,15,16,32,5e-05,0.05,2.0455,0.0,0.0,,,,0.8401,0.8684,2.1321,0.0,0.0,1.0,0.0,0.0,8
260114_data3,3,74,15,16,32,5e-05,0.05,3.2266,0.0,0.0,,,,0.9227,0.9823,3.3307,0.0,0.0,1.0,0.0,0.0,7
260114_data4,4,74,15,16,32,5e-05,0.05,1.7687,0.0,0.0,,,,0.94,0.9137,1.7651,0.0,0.0,1.0,0.0,0.0,3
260114_data5,5,74,15,16,32,5e-05,0.05,1.9692,0.0,0.0,,,,1.0732,1.0686,2.038,0.0,0.0,1.0,0.0,0.0,3
260114_data1,1,74,15,32,64,5e-05,0.1,2.5122,0.0,0.0,,,,0.9566,0.9496,2.3456,0.0,0.0,1.0,0.0,0.0,7
260114_data2,2,74,15,32,64,5e-05,0.1,1.7783,0.0,0.0,,,,0.8278,0.8448,1.8197,0.0,0.0,1.0,0.0,0.0,7
260114_data3,3,74,15,32,64,5e-05,0.1,3.8489,0.0,0.0,,,,0.8819,0.9641,3.9012,0.0,0.0,1.0,0.0,0.0,9
260114_data4,4,74,15,32,64,5e-05,0.1,1.8078,0.0,0.0,,,,0.8899,0.9054,1.8176,0.0,0.0,1.0,0.0,0.0,6
260114_data5,5,74,15,32,64,5e-05,0.1,1.9258,0.0,0.0,,,,1.9843,1.083,2.0232,0.0,0.0,1.0,0.0,0.0,2
